"Geneid","7-day-old_wild","8-day-old_wild","10-day-old_wild","12-day-old_wild","13-day-old_wild","15-day-old_wild","17-day-old_wild"
"AT1G52240",0.557,0.565,0.023,0.012,0.005,0,0
"AT1G01060",42.242,10.304,26.942,24.559,26.173,7.847,6.604
"AT1G01090",895.271,1140.772,519.602,231.976,135.06,31.187,4.979
"AT1G01540",14.672,17.141,13.959,11.236,8.541,4.503,3.96
"AT1G01720",6.736,14.893,24.857,44.268,70.124,272.531,543.16
"AT1G02660",0.847,0.57,0.406,0.531,1.277,6.686,22.693
"AT1G03030",17.446,20.159,11.685,11.085,20.975,37.788,66.869
"AT1G03080",1.595,2.444,4.125,2.919,1.983,0.561,0.228
"AT1G03840",6.804,7.172,4.622,3.748,2.915,1.346,0.2
"AT1G03940",1.434,0.522,0.412,0.886,1.043,0.862,0.731
"AT1G04040",0.994,1.53,0.849,0.632,1.695,9.45,3.723
"AT1G04170",115.791,87.005,33.427,24.578,26.816,23.321,30.352
"AT1G04400",9.995,13.227,5.548,3.008,3.441,3.353,9.929
"AT1G04430",5.756,6.228,4.882,3.756,3.444,0.92,0.569
"AT1G04530",38.34,32.481,18.276,14.888,19.531,26.274,46.034
"AT1G04540",0.696,0.415,0.719,0.769,0.545,0.131,0.029
"AT1G04560",1.5,15.403,2155.848,3945.686,5032.481,9852.552,10477.627
"AT1G04945",6.915,5.163,1.702,2.499,3.207,5.383,5.957
"AT1G04980",15.581,17.233,22.585,8.705,5.907,3.368,3.176
"AT1G05000",0.634,0.361,1.2,1.505,0.709,0.597,0.257
"AT1G05230",2.451,2.179,0.94,0.561,0.347,0.133,0.265
"AT1G05350",33.088,42.191,34.651,21.796,16.315,4.138,1.561
"AT1G06040",102.236,111.444,70.428,46.954,30.686,13.113,7.035
"AT1G06050",4.363,4.099,3.565,3.392,3.384,2.835,2.379
"AT1G06150",7.217,7.483,5.11,3.835,3.696,2.071,2.187
"AT1G06900",13.035,10.475,5.763,3.956,4.062,2.555,5.152
"AT1G07040",50.735,85.308,68.956,43.022,39.227,42.627,37.774
"AT1G07150",0.151,0.601,2.319,2.859,2.809,1.649,6.69
"AT1G07400",6.523,6.48,8.132,7.825,6.282,49.876,82.129
"AT1G07410",1.659,1.897,3.997,4.784,5.086,3.919,1.869
"AT1G07570",25.282,24.68,11.928,6.986,4.762,2.894,2.729
"AT1G08000",14.496,13.703,4.616,3.378,2.599,2.623,2.39
"AT1G08230",0.05,0.018,0.097,0.238,0.549,1.028,3.324
"AT1G08350",7.098,6.863,5.778,3.297,1.688,0.335,0.281
"AT1G08360",762.256,483.318,211.444,159.264,135.069,56.047,72.484
"AT1G08380",629.468,1035.665,326.435,49.943,9.426,1.424,0.404
"AT1G08410",24.026,16.263,5.366,5.056,6.017,8.93,16.233
"AT1G08510",23.946,28.122,19.371,15.049,13.513,11.085,10.227
"AT1G08550",5.21,7.215,3.564,3.013,2.798,3.603,6.969
"AT1G08570",21.713,28.933,45.202,58.924,81.961,143.209,191.632
"AT1G09210",111.884,96.415,51.975,8.925,3.546,1.152,0.982
"AT1G09640",213.412,174.53,74.784,53.031,46.315,30.061,39.383
"AT1G09795",110.001,123.311,43.333,23.332,23.843,38.727,47.619
"AT1G09970",1.227,1.715,2.007,3.3,7.313,24.555,71.871
"AT1G10070",0.176,0.077,0.225,2.537,10.674,26.275,26.407
"AT1G10180",19.749,21.219,15.417,11.194,8.426,5.497,4.814
"AT1G10600",5.735,6.966,5.323,4.388,3.802,5.754,12.482
"AT1G10630",93.667,78.345,43.004,18.137,10.839,2.592,1.288
"AT1G10670",209.811,238.655,124.419,47.911,20.74,4.862,2.66
"AT1G10700",6.396,7.889,7.115,4.414,4.082,2.535,2.539
"AT1G10940",22.356,24.872,19.225,16.091,15.107,12.153,15.165
"AT1G11680",99.156,123.513,81.24,42.74,20.68,7.272,7.115
"AT1G11910",177.299,228.505,276.612,282.608,289.821,354.733,331.877
"AT1G12270",60.601,41.611,4.634,1.785,1.69,4.616,8.479
"AT1G12350",13.214,14.746,10.47,7.738,7.194,6.7,9.415
"AT1G12840",40.333,41.601,25.578,15.857,13.27,10.043,9.101
"AT1G13110",0.01,0,0,0,0,0,0
"AT1G13170",35.143,36.838,20.515,11.212,4.571,0.343,0.072
"AT1G13440",895.616,957.386,552.819,289.228,191.847,78.02,83.541
"AT1G13980",11.306,11.091,7.8,5.045,3.412,1.128,1.345
"AT1G14010",26.899,36.215,45.793,27.237,20.454,6.965,3.112
"AT1G14370",0.156,0.119,0.161,0.08,0.057,0.124,0.098
"AT1G14710",35.437,35.005,15.071,9.628,6.29,2.829,1.446
"AT1G14920",12.971,16.714,12.067,10.052,7.459,8.086,10.995
"AT1G15690",160.659,109.812,48.676,67.015,85.256,120.265,119.936
"AT1G15820",835.575,1250.582,414.555,106.287,23.728,1.167,0.177
"AT1G15910",120.712,116.098,67.85,38.923,17.93,1.233,0.384
"AT1G16080",41.993,42.523,11.21,8.309,7.003,6.687,8.525
"AT1G16670",2.14,2.208,2.539,3.144,2.682,2.314,3.344
"AT1G16780",4.492,5.655,4.658,2.175,1.012,0.119,0.097
"AT1G17160",30.327,37.563,19.413,11.017,7.221,4.899,5.14
"AT1G17180",1.841,1.316,0.955,0.223,0.023,0,0
"AT1G17455",8.078,6.897,4.108,2.915,2.783,2.165,1.422
"AT1G17590",4.923,3.212,2.286,2.294,2.339,2.608,4.21
"AT1G17710",0.013,0.005,0.016,0.204,0.023,0.016,0
"AT1G17860",0,0,0,0,0,0,0
"AT1G18260",9.886,16.696,34.905,28.958,23.567,16.454,19.429
"AT1G18720",25.396,30.196,22.251,20.595,17.888,43.913,89.286
"AT1G18800",73.317,42.291,12.051,13.229,16.712,20.773,52.627
"AT1G18890",3.381,3.458,1.223,1.053,1.224,1.068,1.464
"AT1G18950",16.674,17.224,10.632,7.748,6.771,4.8,5.685
"AT1G19170",6.003,7.054,7.092,6.272,5.914,4.08,3.19
"AT1G19180",9.099,17.504,17.636,23.413,28.152,27.6,14.899
"AT1G19220",3.2,3.9,1.657,1.286,1.148,0.788,0.524
"AT1G19330",34.466,42.338,45.634,29.084,11.116,0.221,0.012
"AT1G19480",6.599,7.231,4.196,3.347,2.612,2.321,2.337
"AT1G19600",25.662,20.405,8.354,6.862,4.825,3.823,11.37
"AT1G19835",4.457,16.509,61.165,53.853,35.069,8.599,1.362
"AT1G19870",33.472,28.735,12.666,9.956,9.299,5.575,5.433
"AT1G19920",63.796,49.214,20.668,9.164,4.361,1.74,1.853
"AT1G20270",9.971,12.809,13.386,12.737,11.752,6.377,3.184
"AT1G20650",4.132,8.087,8.231,6.584,5.848,5.187,11.134
"AT1G20950",90.767,96.327,26.059,5.225,1.747,0.35,0.469
"AT1G21070",16.716,22.431,25.177,15.067,7.639,0.645,0.1
"AT1G21410",9.269,8.239,8.944,7.542,9.735,12.18,25.389
"AT1G21450",7.315,7.91,8.681,8.077,7.038,6.736,8.427
"AT1G21750",257.809,393.045,444.695,192.45,121.166,30.209,6.867
"AT1G21980",12.598,14.224,11.035,8.18,5.445,0.856,0.06
"AT1G22060",4.552,5.954,8.844,7.124,5.385,3.162,2.67
"AT1G22600",0.487,1.859,5.301,8.808,16.422,51.172,88.162
"AT1G22610",0,0,0,0,0,0,0
"AT1G22760",0.007,0,0,0,0,0.011,0
"AT1G23100",40.158,15.706,3.138,3.74,4.412,6.936,12.857
"AT1G23190",32.107,44.599,34.71,18.623,13.061,5.72,3.966
"AT1G23200",15.419,8.109,1.519,1.458,0.165,0.007,0.009
"AT1G24160",15.805,21.825,21.384,16.016,13.731,9.869,9.53
"AT1G24360",972.048,1083.347,379.101,150.484,85.068,13.757,3.415
"AT1G24440",3.764,5.105,4.534,4.581,5.893,6.118,7.865
"AT1G24490",24.538,23.481,9.408,11.326,18.612,46.976,97.957
"AT1G25440",8.85,12.088,2.736,0.311,0.052,0.029,0
"AT1G25560",0.119,0.228,0.117,0.046,0.018,0.008,0.009
"AT1G26110",89.143,79.199,38.452,28.3,27.463,29.379,42.49
"AT1G26355",0,0,0,0,0,0,0
"AT1G26480",0.063,0,0.008,0,0,0,0
"AT1G26910",57.225,34.938,9.898,6.857,4.722,2.298,1.321
"AT1G27400",600.296,347.147,79.565,50.801,39.348,13.054,13.028
"AT1G27450",201.59,129.593,34.379,17.002,12.074,4.958,2.751
"AT1G27680",20.617,24.329,10.85,6.135,4.207,3.549,5.583
"AT1G27970",89.27,60.321,28.126,19.711,18.258,18.345,11.067
"AT1G27990",0.02,0.712,13.159,35.151,93.622,384.072,920.964
"AT1G28110",29.907,30.109,14.598,3.367,0.871,0.048,0.01
"AT1G28360",28.163,18.577,10.22,11.882,8.743,22.783,27.468
"AT1G28480",0,0.024,0,0,0,0,0
"AT1G29270",15.198,21.067,0.831,0.023,0,0.009,0
"AT1G29840",10.678,8.676,4.992,2.932,1.994,0.49,0.689
"AT1G29970",4.669,5.619,6.223,8.114,8.519,10.424,11.954
"AT1G30090",5.301,5.178,4.944,6.277,6.882,10.15,15.448
"AT1G30220",0.692,3.694,20.739,5.333,2.08,0.938,0.938
"AT1G30240",8.136,5.536,1.534,1.659,2.17,2.548,3.309
"AT1G30320",10.166,5.373,0.892,0.276,0.177,0.527,2.431
"AT1G30380",527.79,793.351,319.903,126.42,37.584,1.286,0.096
"AT1G30440",58.707,62.958,32.856,15.541,8.58,1.734,1.434
