SRR_No,Treatment
SRR2927328,7-day-old_wild
SRR2927329,7-day-old_wild
SRR2927330,7-day-old_wild
SRR2927331,8-day-old_wild
SRR2927332,8-day-old_wild
SRR2927333,8-day-old_wild
SRR2927334,10-day-old_wild
SRR2927335,10-day-old_wild
SRR2927336,10-day-old_wild
SRR2927337,12-day-old_wild
SRR2927338,12-day-old_wild
SRR2927339,12-day-old_wild
SRR2927340,13-day-old_wild
SRR2927341,13-day-old_wild
SRR2927342,13-day-old_wild
SRR2927343,15-day-old_wild
SRR2927344,15-day-old_wild
SRR2927345,15-day-old_wild
SRR2927346,17-day-old_wild
SRR2927347,17-day-old_wild
