"","row","column","cor","pval"
"139","AT1G01540","AT1G05350",0.995,2.61e-06
"190","AT1G06040","AT1G06150",0.992,1.11e-05
"257","AT1G01720","AT1G07400",0.99,1.81e-05
"317","AT1G05230","AT1G07570",0.996,2.42e-06
"356","AT1G02660","AT1G08230",0.992,1.08e-05
"498","AT1G01090","AT1G08510",0.996,1.53e-06
"647","AT1G05230","AT1G09640",0.994,6.12e-06
"657","AT1G08000","AT1G09640",0.99,1.68e-05
"708","AT1G02660","AT1G09970",0.998,5.32e-07
"731","AT1G08230","AT1G09970",0.996,1.62e-06
"799","AT1G06040","AT1G10180",0.999,4e-08
"878","AT1G05230","AT1G10630",0.992,1.19e-05
"887","AT1G07570","AT1G10630",0.993,8.2e-06
"897","AT1G09210","AT1G10630",0.995,4e-06
"905","AT1G01090","AT1G10670",0.996,2.4e-06
"936","AT1G08510","AT1G10670",0.99,1.82e-05
"1076","AT1G10180","AT1G11680",0.992,1.08e-05
"1138","AT1G04170","AT1G12270",0.995,2.91e-06
"1227","AT1G01090","AT1G12840",0.991,1.45e-05
"1251","AT1G07570","AT1G12840",0.996,2.52e-06
"1269","AT1G10670","AT1G12840",0.997,8.9e-07
"1294","AT1G06040","AT1G13170",0.995,4.09e-06
"1316","AT1G10180","AT1G13170",0.993,8.89e-06
"1319","AT1G10670","AT1G13170",0.995,3.73e-06
"1326","AT1G12840","AT1G13170",0.995,2.92e-06
"1328","AT1G01090","AT1G13440",0.992,9.89e-06
"1345","AT1G06040","AT1G13440",0.991,1.36e-05
"1352","AT1G07570","AT1G13440",0.99,1.84e-05
"1370","AT1G10670","AT1G13440",0.998,3.23e-07
"1377","AT1G12840","AT1G13440",0.998,2.57e-07
"1378","AT1G13170","AT1G13440",0.998,2.07e-07
"1397","AT1G06040","AT1G13980",0.995,3.63e-06
"1398","AT1G06150","AT1G13980",0.991,1.38e-05
"1407","AT1G08350","AT1G13980",0.99,1.88e-05
"1419","AT1G10180","AT1G13980",0.996,2.16e-06
"1430","AT1G13170","AT1G13980",0.993,7.89e-06
"1502","AT1G05230","AT1G14710",0.993,7.08e-06
"1511","AT1G07570","AT1G14710",0.999,1.41e-07
"1536","AT1G12840","AT1G14710",0.993,6.65e-06
"1684","AT1G08380","AT1G15820",0.998,2.21e-07
